Player,Season,Pos,Team,G,Salary,PPG,APG,RPG,BPG,SPG,TPG
Manu Ginobili,2012,SG,SAS,34.0,7.5,12.9,4.4,3.4,0.4,0.7,1.9
Eric Gordon,2012,PG,NOH,9.0,14.28,20.6,3.4,2.8,0.4,1.4,2.7
Danny Green,2012,SG,SAS,66.0,3.76,9.1,1.3,3.5,0.7,0.9,1.0
Devin Harris,2012,PG,UTA,63.0,1.27,11.3,5.0,1.8,0.2,1.0,1.9
Spencer Hawes,2012,C,PHI,37.0,6.5,9.6,2.6,7.3,1.3,0.4,1.5
George Hill,2012,PG,IND,50.0,8.0,9.6,2.9,3.0,0.3,0.8,1.0
Jrue Holiday,2012,PG,PHI,65.0,9.21,13.5,4.5,3.3,0.3,1.6,2.1
Al Horford,2012,C,ATL,11.0,12.0,12.4,2.2,7.0,1.3,0.9,1.5
Dwight Howard,2012,C,ORL,54.0,20.51,20.6,1.9,14.5,2.1,1.5,3.2
Serge Ibaka,2012,PF,OKC,66.0,12.25,9.1,0.4,7.5,3.7,0.5,1.2
Andre Iguodala,2012,SF,PHI,62.0,12.87,12.4,5.5,6.1,0.5,1.7,1.9
Ersan Ilyasova,2012,PF,MIL,60.0,7.9,13.0,1.2,8.8,0.7,0.7,1.3
Jarrett Jack,2012,PG,NOH,45.0,6.3,15.6,6.3,3.9,0.2,0.7,2.4
Richard Jefferson,2012,SF,TOT,63.0,11.05,9.2,1.4,3.5,0.3,0.6,0.8
Amir Johnson,2012,PF,TOR,64.0,6.5,7.1,1.2,6.4,1.1,0.5,1.5
Joe Johnson,2012,SG,ATL,60.0,21.47,18.8,3.9,3.7,0.2,0.8,1.9
DeAndre Jordan,2012,C,LAC,66.0,10.99,7.4,0.3,8.3,2.0,0.5,1.1
Kyle Korver,2012,SG,CHI,65.0,6.76,8.1,1.7,2.4,0.2,0.6,0.8
Kosta Koufos,2012,C,DEN,48.0,3.0,5.5,0.3,5.4,0.9,0.5,0.7
Brook Lopez,2012,C,NJN,5.0,14.69,19.2,1.2,3.6,0.8,0.2,1.2
Kevin Love,2012,PF,MIN,55.0,14.69,26.0,2.0,13.3,0.5,0.9,2.3
Kyle Lowry,2012,PG,HOU,47.0,6.21,14.3,6.6,4.5,0.3,1.6,2.8
Wesley Matthews,2012,SG,POR,66.0,6.88,13.7,1.7,3.4,0.2,1.5,1.1
JaVale McGee,2012,C,TOT,61.0,10.75,11.3,0.5,7.8,2.2,0.6,1.4
Jodie Meeks,2012,SG,PHI,66.0,1.55,8.4,0.8,2.4,0.0,0.6,0.4
C.J. Miles,2012,SG,UTA,56.0,2.22,9.1,1.2,2.1,0.3,0.8,0.9
Jameer Nelson,2012,PG,ORL,57.0,8.6,11.9,5.7,3.2,0.1,0.7,2.4
Dirk Nowitzki,2012,PF,DAL,62.0,22.72,21.6,2.2,6.7,0.5,0.7,1.9
Tony Parker,2012,PG,SAS,60.0,12.5,18.2,7.7,2.8,0.1,1.0,2.6
Chris Paul,2012,PG,LAC,60.0,18.67,19.8,9.0,3.6,0.1,2.5,2.1
Zach Randolph,2012,PF,MEM,28.0,17.8,11.6,1.7,8.0,0.1,0.8,1.4
J.J. Redick,2012,SG,ORL,65.0,6.3,11.6,2.5,2.3,0.1,0.4,1.0
Thabo Sefolosha,2012,SG,OKC,42.0,3.9,4.8,1.1,3.0,0.4,0.9,1.0
J.R. Smith,2012,SG,NYK,35.0,5.56,12.5,2.4,3.9,0.2,1.5,1.3
Jason Smith,2012,PF,NOH,40.0,2.5,9.9,0.8,4.9,1.0,0.5,1.0
Marreese Speights,2012,PF,MEM,60.0,3.5,8.8,0.8,6.2,0.5,0.4,1.2
Jeff Teague,2012,PG,ATL,66.0,8.0,12.6,4.9,2.4,0.6,1.6,2.0
Beno Udrih,2012,SG,MIL,59.0,1.27,5.9,3.8,1.7,0.0,0.6,1.3
Anderson Varejao,2012,C,CLE,25.0,9.04,10.8,1.7,11.5,0.7,1.4,1.8
David West,2012,PF,IND,66.0,12.0,12.8,2.1,6.6,0.7,0.8,1.4
Russell Westbrook,2012,PG,OKC,66.0,14.69,23.6,5.5,4.6,0.3,1.7,3.6
Deron Williams,2012,PG,NJN,55.0,18.47,21.0,8.7,3.3,0.4,1.2,4.0
Nick Young,2012,SG,TOT,62.0,1.11,14.2,0.9,2.1,0.3,0.7,1.3
Thaddeus Young,2012,PF,PHI,63.0,8.6,12.8,1.2,5.2,0.7,1.0,0.9
Arron Afflalo,2013,SF,ORL,64.0,7.31,16.5,3.2,3.7,0.2,0.6,2.2
LaMarcus Aldridge,2013,PF,POR,74.0,14.13,21.1,2.6,9.1,1.2,0.8,1.9
Tony Allen,2013,SG,MEM,79.0,4.49,8.9,1.2,4.6,0.6,1.5,1.2
Ryan Anderson,2013,PF,NOH,81.0,8.31,16.2,1.2,6.4,0.4,0.5,1.2
Carmelo Anthony,2013,PF,NYK,67.0,22.41,28.7,2.6,6.9,0.5,0.8,2.6
Trevor Ariza,2013,SF,WAS,56.0,7.73,9.5,2.0,4.8,0.4,1.3,1.5
Matt Barnes,2013,SF,LAC,80.0,3.25,10.3,1.5,4.6,0.8,1.0,1.1
Nicolas Batum,2013,SF,POR,73.0,11.3,14.3,4.9,5.6,1.1,1.2,2.6
Jerryd Bayless,2013,PG,MEM,80.0,3.14,8.7,3.3,2.2,0.2,0.7,1.5
Michael Beasley,2013,SF,PHO,75.0,4.67,10.1,1.5,3.8,0.5,0.4,1.9
Marco Belinelli,2013,SG,CHI,73.0,2.75,9.6,2.0,1.9,0.1,0.6,1.1
Andrew Bogut,2013,C,GSW,32.0,14.0,5.8,2.1,7.7,1.7,0.6,1.1
Corey Brewer,2013,SF,DEN,82.0,4.5,12.1,1.5,2.9,0.3,1.4,1.2
Tyson Chandler,2013,C,NYK,66.0,14.1,10.4,0.9,10.7,1.1,0.6,1.3
Darren Collison,2013,PG,DAL,81.0,1.9,12.0,5.1,2.7,0.1,1.2,2.1
Nick Collison,2013,C,OKC,81.0,2.59,5.1,1.5,4.1,0.4,0.6,0.9
Mike Conley,2013,PG,MEM,80.0,8.0,14.6,6.1,2.8,0.3,2.2,2.4
Stephen Curry,2013,PG,GSW,78.0,9.89,22.9,6.9,4.0,0.2,1.6,3.1
Luol Deng,2013,SF,CHI,75.0,14.28,16.5,3.0,6.3,0.4,1.1,1.9
DeMar DeRozan,2013,SG,TOR,82.0,9.5,18.1,2.5,3.9,0.3,0.9,1.8
Goran Dragic,2013,PG,PHO,77.0,7.5,14.7,7.4,3.1,0.3,1.6,2.8
Kevin Durant,2013,SF,OKC,81.0,17.83,28.1,4.6,7.9,1.3,1.4,3.5
Wayne Ellington,2013,SG,TOT,78.0,2.65,7.9,1.3,2.1,0.0,0.6,0.7
Monta Ellis,2013,SG,MIL,82.0,8.0,19.2,6.0,3.9,0.4,2.1,3.1
Tyreke Evans,2013,SG,SAC,65.0,10.3,15.2,3.5,4.4,0.4,1.4,2.0
Raymond Felton,2013,PG,NYK,68.0,3.64,13.9,5.5,2.9,0.2,1.4,2.3
Marc Gasol,2013,C,MEM,80.0,14.86,14.1,4.0,7.8,1.7,1.0,2.0
Rudy Gay,2013,SF,TOT,75.0,17.89,18.2,2.7,6.1,0.7,1.5,2.6
Manu Ginobili,2013,SG,SAS,60.0,7.5,11.8,4.6,3.4,0.2,1.3,2.2
Eric Gordon,2013,SG,NOH,42.0,14.28,17.0,3.3,1.8,0.2,1.1,2.8
Danny Green,2013,SG,SAS,80.0,3.76,10.5,1.8,3.0,0.7,1.2,1.2
Devin Harris,2013,SG,ATL,58.0,1.27,9.9,3.4,2.0,0.2,1.1,1.5
Spencer Hawes,2013,C,PHI,82.0,6.5,11.0,2.2,7.2,1.4,0.3,1.6
George Hill,2013,PG,IND,76.0,8.0,14.2,4.7,3.7,0.3,1.1,1.5
Jrue Holiday,2013,PG,PHI,78.0,9.21,17.7,8.0,4.2,0.4,1.6,3.7
Al Horford,2013,C,ATL,74.0,12.0,17.4,3.2,10.2,1.1,1.1,2.0
Dwight Howard,2013,C,LAL,76.0,20.51,17.1,1.4,12.4,2.4,1.1,3.0
Serge Ibaka,2013,PF,OKC,80.0,12.25,13.2,0.5,7.7,3.0,0.4,1.6
Andre Iguodala,2013,SG,DEN,80.0,12.87,13.0,5.4,5.3,0.6,1.7,2.6
Ersan Ilyasova,2013,PF,MIL,73.0,7.9,13.2,1.6,7.1,0.5,0.9,1.0
Jarrett Jack,2013,SG,GSW,79.0,6.3,12.9,5.6,3.1,0.1,0.8,2.0
Richard Jefferson,2013,SF,GSW,56.0,11.05,3.1,0.6,1.5,0.1,0.2,0.4
Amir Johnson,2013,PF,TOR,81.0,6.5,10.0,1.5,7.5,1.4,1.0,1.4
Joe Johnson,2013,SG,BRK,72.0,21.47,16.2,3.5,3.0,0.2,0.7,1.7
DeAndre Jordan,2013,C,LAC,82.0,10.99,8.8,0.3,7.2,1.4,0.6,1.2
Kyle Korver,2013,SF,ATL,74.0,6.76,10.9,2.0,4.0,0.5,0.9,0.9
Kosta Koufos,2013,C,DEN,81.0,3.0,8.0,0.4,6.9,1.3,0.5,0.7
Brook Lopez,2013,C,BRK,74.0,14.69,19.4,0.9,6.9,2.1,0.4,1.8
Kevin Love,2013,PF,MIN,18.0,14.69,18.3,2.3,14.0,0.5,0.7,2.2
Kyle Lowry,2013,PG,TOR,68.0,6.21,11.6,6.4,4.7,0.4,1.4,2.3
Wesley Matthews,2013,SG,POR,69.0,6.88,14.8,2.5,2.8,0.3,1.3,1.6
JaVale McGee,2013,C,DEN,79.0,10.75,9.1,0.3,4.8,2.0,0.4,1.1
Jodie Meeks,2013,SG,LAL,78.0,1.55,7.9,0.9,2.2,0.1,0.7,0.7
C.J. Miles,2013,SF,CLE,65.0,2.22,11.2,1.0,2.7,0.3,0.8,1.1
Jameer Nelson,2013,PG,ORL,56.0,8.6,14.7,7.4,3.7,0.1,1.3,2.8
Dirk Nowitzki,2013,PF,DAL,53.0,22.72,17.3,2.5,6.8,0.7,0.7,1.3
Tony Parker,2013,PG,SAS,66.0,12.5,20.3,7.6,3.0,0.1,0.8,2.6
Chris Paul,2013,PG,LAC,70.0,18.67,16.9,9.7,3.7,0.1,2.4,2.3
Zach Randolph,2013,PF,MEM,76.0,17.8,15.4,1.4,11.2,0.4,0.8,2.0
J.J. Redick,2013,SG,TOT,78.0,6.3,14.1,3.8,2.2,0.1,0.5,1.8
Thabo Sefolosha,2013,SG,OKC,81.0,3.9,7.6,1.5,3.9,0.5,1.3,0.8
J.R. Smith,2013,SG,NYK,80.0,5.56,18.1,2.7,5.3,0.3,1.2,1.7
Jason Smith,2013,C,NOH,51.0,2.5,8.2,0.7,3.6,0.9,0.3,1.1
Marreese Speights,2013,C,TOT,79.0,3.5,8.3,0.6,4.9,0.7,0.3,1.0
Jeff Teague,2013,PG,ATL,80.0,8.0,14.6,7.2,2.2,0.4,1.5,2.9
Beno Udrih,2013,SG-PG,TOT,66.0,1.27,8.2,4.6,2.1,0.0,0.6,1.6
Anderson Varejao,2013,C,CLE,25.0,9.04,14.1,3.4,14.4,0.6,1.5,1.8
David West,2013,PF,IND,73.0,12.0,17.1,2.9,7.7,0.9,1.0,2.2
Russell Westbrook,2013,PG,OKC,82.0,14.69,23.2,7.4,5.2,0.3,1.8,3.3
Deron Williams,2013,PG,BRK,78.0,18.47,18.9,7.7,3.0,0.4,1.0,2.8
Nick Young,2013,SG,PHI,59.0,1.11,10.6,1.4,2.2,0.2,0.6,0.8
Thaddeus Young,2013,PF,PHI,76.0,8.6,14.8,1.6,7.5,0.7,1.8,1.2
Arron Afflalo,2014,SG,ORL,73.0,7.31,18.2,3.4,3.6,0.0,0.5,2.0
LaMarcus Aldridge,2014,PF,POR,69.0,14.13,23.2,2.6,11.1,1.0,0.9,1.8
Tony Allen,2014,SG,MEM,55.0,4.49,9.0,1.7,3.8,0.3,1.6,1.6
Ryan Anderson,2014,PF,NOP,22.0,8.31,19.8,0.8,6.5,0.3,0.5,0.9
Carmelo Anthony,2014,PF,NYK,77.0,22.41,27.4,3.1,8.1,0.7,1.2,2.6
Trevor Ariza,2014,SF,WAS,77.0,7.73,14.4,2.5,6.2,0.3,1.6,1.7
Matt Barnes,2014,SF,LAC,63.0,3.25,9.9,2.0,4.6,0.4,0.9,1.3
Nicolas Batum,2014,SF,POR,82.0,11.3,13.0,5.1,7.5,0.7,0.9,2.5
Jerryd Bayless,2014,PG,TOT,72.0,3.14,9.2,2.7,2.0,0.1,0.8,1.1
Michael Beasley,2014,SF,MIA,55.0,4.67,7.9,0.8,3.1,0.4,0.4,1.0
Marco Belinelli,2014,SF,SAS,80.0,2.75,11.4,2.2,2.8,0.1,0.6,1.2
Andrew Bogut,2014,C,GSW,67.0,14.0,7.3,1.7,10.0,1.8,0.7,1.4
Corey Brewer,2014,SF,MIN,81.0,4.5,12.3,1.7,2.6,0.4,1.9,1.3
Tyson Chandler,2014,C,NYK,55.0,14.1,8.7,1.1,9.6,1.1,0.7,1.3
Darren Collison,2014,PG,LAC,80.0,1.9,11.4,3.7,2.4,0.2,1.2,1.6
Nick Collison,2014,PF,OKC,81.0,2.59,4.2,1.3,3.6,0.3,0.4,0.9
Mike Conley,2014,PG,MEM,73.0,8.0,17.2,6.0,2.9,0.2,1.5,2.1
Stephen Curry,2014,PG,GSW,78.0,9.89,24.0,8.5,4.3,0.2,1.6,3.8
Luol Deng,2014,SF,TOT,63.0,14.28,16.0,2.9,5.7,0.1,1.0,1.8
DeMar DeRozan,2014,SG,TOR,79.0,9.5,22.7,4.0,4.3,0.4,1.1,2.2
Goran Dragic,2014,SG,PHO,76.0,7.5,20.3,5.9,3.2,0.3,1.4,2.8
Kevin Durant,2014,SF,OKC,81.0,17.83,32.0,5.5,7.4,0.7,1.3,3.5
Wayne Ellington,2014,SG,DAL,45.0,2.65,3.2,0.4,1.0,0.0,0.4,0.2
Monta Ellis,2014,SG,DAL,82.0,8.0,19.0,5.7,3.6,0.3,1.7,3.2
Tyreke Evans,2014,SF,NOP,72.0,10.3,14.5,5.0,4.7,0.3,1.2,2.4
Raymond Felton,2014,PG,NYK,65.0,3.64,9.7,5.6,3.0,0.4,1.2,2.0
Marc Gasol,2014,C,MEM,59.0,14.86,14.6,3.6,7.2,1.3,1.0,1.9
Rudy Gay,2014,SF,TOT,73.0,17.89,20.0,2.9,6.0,0.8,1.3,3.1
Manu Ginobili,2014,SG,SAS,68.0,7.5,12.3,4.3,3.0,0.2,1.0,2.0
Eric Gordon,2014,SG,NOP,64.0,14.28,15.4,3.2,2.6,0.2,1.2,2.1
Danny Green,2014,SG,SAS,68.0,3.76,9.1,1.5,3.4,0.9,1.0,1.1
Devin Harris,2014,PG,DAL,40.0,1.27,7.9,4.4,2.1,0.0,0.7,1.5
Spencer Hawes,2014,C,TOT,80.0,6.5,13.2,3.0,8.2,1.2,0.6,2.2
George Hill,2014,PG,IND,76.0,8.0,10.3,3.5,3.7,0.3,1.0,1.2
Jrue Holiday,2014,PG,NOP,34.0,9.21,14.3,7.9,4.2,0.4,1.6,3.1
Al Horford,2014,C,ATL,29.0,12.0,18.6,2.6,8.4,1.5,0.9,2.2
Dwight Howard,2014,C,HOU,71.0,20.51,18.3,1.8,12.2,1.8,0.8,3.2
Serge Ibaka,2014,PF,OKC,81.0,12.25,15.1,1.0,8.8,2.7,0.5,1.5
Andre Iguodala,2014,SF,GSW,63.0,12.87,9.3,4.2,4.7,0.3,1.5,1.6
Ersan Ilyasova,2014,PF,MIL,55.0,7.9,11.2,1.3,6.2,0.1,0.8,1.1
Jarrett Jack,2014,PG,CLE,80.0,6.3,9.5,4.0,2.8,0.3,0.7,1.7
Richard Jefferson,2014,SF,UTA,82.0,11.05,10.1,1.6,2.7,0.2,0.7,1.1
Amir Johnson,2014,PF,TOR,77.0,6.5,10.4,1.5,6.6,1.1,0.7,1.6
