Player,Season,Pos,Team,G,ORB,DRB,AST,STL,BLK,TOV,PTS
Josh McRoberts,2012.0,PF,LAL,50.0,61.0,110.0,51.0,15.0,18.0,31.0,138.0
Jodie Meeks,2012.0,SG,PHI,66.0,17.0,144.0,54.0,40.0,3.0,29.0,556.0
C.J. Miles,2012.0,SG,UTA,56.0,27.0,89.0,69.0,46.0,18.0,53.0,508.0
Mike Miller,2012.0,SG,MIA,39.0,22.0,106.0,42.0,14.0,6.0,30.0,237.0
Paul Millsap,2012.0,PF,UTA,64.0,180.0,383.0,150.0,118.0,52.0,112.0,1061.0
Anthony Morrow,2012.0,SG,NJN,62.0,31.0,96.0,61.0,46.0,9.0,70.0,747.0
Jameer Nelson,2012.0,PG,ORL,57.0,29.0,152.0,325.0,38.0,5.0,135.0,676.0
Steve Novak,2012.0,PF,NYK,54.0,9.0,95.0,12.0,16.0,9.0,21.0,477.0
Dirk Nowitzki,2012.0,PF,DAL,62.0,46.0,372.0,136.0,42.0,30.0,117.0,1342.0
Tony Parker,2012.0,PG,SAS,60.0,22.0,149.0,463.0,57.0,5.0,153.0,1095.0
Chris Paul,2012.0,PG,LAC,60.0,42.0,171.0,543.0,152.0,4.0,124.0,1189.0
Paul Pierce,2012.0,SF,BOS,61.0,37.0,280.0,274.0,70.0,26.0,173.0,1181.0
Ronnie Price,2012.0,PG,PHO,36.0,18.0,38.0,67.0,34.0,3.0,46.0,131.0
Zach Randolph,2012.0,PF,MEM,28.0,78.0,147.0,48.0,21.0,4.0,40.0,324.0
J.J. Redick,2012.0,SG,ORL,65.0,18.0,132.0,164.0,27.0,6.0,68.0,751.0
Rajon Rondo,2012.0,PG,BOS,53.0,62.0,195.0,620.0,95.0,3.0,193.0,630.0
Brandon Rush,2012.0,SF,GSW,65.0,33.0,218.0,88.0,35.0,58.0,68.0,634.0
Luis Scola,2012.0,PF,HOU,66.0,122.0,306.0,140.0,35.0,24.0,153.0,1025.0
Thabo Sefolosha,2012.0,SG,OKC,42.0,21.0,107.0,47.0,37.0,17.0,40.0,203.0
Ramon Sessions,2012.0,PG,TOT,64.0,33.0,181.0,354.0,44.0,3.0,141.0,721.0
J.R. Smith,2012.0,SG,NYK,35.0,29.0,107.0,84.0,54.0,6.0,46.0,436.0
Jason Smith,2012.0,PF,NOH,40.0,72.0,124.0,34.0,21.0,41.0,40.0,396.0
Marreese Speights,2012.0,PF,MEM,60.0,133.0,241.0,48.0,21.0,29.0,74.0,526.0
Rodney Stuckey,2012.0,SG,DET,55.0,38.0,104.0,210.0,44.0,10.0,106.0,812.0
Jeff Teague,2012.0,PG,ATL,66.0,21.0,138.0,321.0,106.0,37.0,134.0,831.0
Jason Terry,2012.0,SG,DAL,63.0,16.0,133.0,226.0,73.0,11.0,127.0,950.0
Marcus Thornton,2012.0,SG,SAC,51.0,84.0,104.0,98.0,71.0,12.0,84.0,952.0
Anthony Tolliver,2012.0,SF,MIN,51.0,50.0,103.0,22.0,18.0,19.0,35.0,208.0
Beno Udrih,2012.0,SG,MIL,59.0,26.0,76.0,227.0,37.0,1.0,77.0,348.0
Anderson Varejao,2012.0,C,CLE,25.0,109.0,178.0,43.0,35.0,17.0,45.0,271.0
Dwyane Wade,2012.0,SG,MIA,49.0,73.0,164.0,225.0,82.0,63.0,129.0,1082.0
C.J. Watson,2012.0,PG,CHI,49.0,21.0,84.0,200.0,45.0,8.0,97.0,474.0
David West,2012.0,PF,IND,66.0,118.0,315.0,140.0,52.0,46.0,93.0,842.0
Russell Westbrook,2012.0,PG,OKC,66.0,96.0,205.0,362.0,112.0,21.0,239.0,1558.0
Deron Williams,2012.0,PG,NJN,55.0,23.0,160.0,481.0,67.0,20.0,219.0,1154.0
Lou Williams,2012.0,PG,PHI,64.0,30.0,125.0,221.0,53.0,18.0,71.0,956.0
Nick Young,2012.0,SG,TOT,62.0,31.0,102.0,56.0,44.0,17.0,83.0,879.0
Thaddeus Young,2012.0,PF,PHI,63.0,137.0,188.0,74.0,64.0,41.0,55.0,808.0
Arron Afflalo,2013.0,SF,ORL,64.0,29.0,210.0,206.0,40.0,11.0,138.0,1057.0
LaMarcus Aldridge,2013.0,PF,POR,74.0,175.0,495.0,192.0,62.0,91.0,143.0,1560.0
Tony Allen,2013.0,SG,MEM,79.0,121.0,242.0,98.0,119.0,44.0,94.0,705.0
Chris Andersen,2013.0,C,MIA,42.0,57.0,115.0,17.0,16.0,44.0,24.0,207.0
Ryan Anderson,2013.0,PF,NOH,81.0,191.0,328.0,97.0,42.0,31.0,97.0,1309.0
Carmelo Anthony,2013.0,PF,NYK,67.0,134.0,326.0,171.0,52.0,32.0,175.0,1920.0
Joel Anthony,2013.0,C,MIA,62.0,45.0,70.0,13.0,13.0,42.0,22.0,87.0
Trevor Ariza,2013.0,SF,WAS,56.0,44.0,222.0,113.0,72.0,20.0,84.0,530.0
D.J. Augustin,2013.0,PG,IND,76.0,20.0,71.0,170.0,34.0,3.0,68.0,356.0
Leandro Barbosa,2013.0,PG,BOS,41.0,8.0,38.0,58.0,17.0,6.0,21.0,215.0
J.J. Barea,2013.0,PG,MIN,74.0,34.0,173.0,294.0,32.0,0.0,145.0,834.0
Matt Barnes,2013.0,SF,LAC,80.0,111.0,255.0,123.0,82.0,63.0,90.0,822.0
Brandon Bass,2013.0,PF,BOS,81.0,129.0,296.0,84.0,44.0,64.0,80.0,701.0
Nicolas Batum,2013.0,SF,POR,73.0,97.0,315.0,360.0,91.0,83.0,190.0,1047.0
Jerryd Bayless,2013.0,PG,MEM,80.0,22.0,154.0,264.0,59.0,17.0,120.0,693.0
Michael Beasley,2013.0,SF,PHO,75.0,52.0,230.0,111.0,31.0,34.0,144.0,759.0
Marco Belinelli,2013.0,SG,CHI,73.0,13.0,127.0,148.0,44.0,6.0,82.0,702.0
Andrew Bogut,2013.0,C,GSW,32.0,68.0,177.0,67.0,20.0,55.0,35.0,186.0
Corey Brewer,2013.0,SF,DEN,82.0,55.0,180.0,124.0,118.0,23.0,102.0,990.0
Jose Calderon,2013.0,PG,TOT,73.0,20.0,156.0,518.0,58.0,8.0,126.0,826.0
DeMarre Carroll,2013.0,SF,UTA,66.0,87.0,101.0,61.0,58.0,24.0,34.0,393.0
Vince Carter,2013.0,SF,DAL,81.0,58.0,276.0,194.0,74.0,44.0,106.0,1088.0
Tyson Chandler,2013.0,C,NYK,66.0,269.0,434.0,62.0,42.0,75.0,87.0,689.0
Darren Collison,2013.0,PG,DAL,81.0,31.0,188.0,415.0,100.0,8.0,173.0,972.0
Nick Collison,2013.0,C,OKC,81.0,123.0,210.0,121.0,51.0,30.0,69.0,412.0
Mike Conley,2013.0,PG,MEM,80.0,43.0,182.0,487.0,174.0,24.0,189.0,1168.0
Dante Cunningham,2013.0,PF,MIN,80.0,142.0,266.0,67.0,84.0,38.0,56.0,695.0
Stephen Curry,2013.0,PG,GSW,78.0,59.0,255.0,539.0,126.0,12.0,240.0,1786.0
Luol Deng,2013.0,SF,CHI,75.0,162.0,314.0,222.0,81.0,32.0,144.0,1237.0
DeMar DeRozan,2013.0,SG,TOR,82.0,48.0,272.0,204.0,76.0,24.0,151.0,1485.0
Boris Diaw,2013.0,PF,SAS,75.0,66.0,188.0,180.0,52.0,27.0,84.0,435.0
Goran Dragic,2013.0,PG,PHO,77.0,60.0,178.0,569.0,124.0,26.0,212.0,1134.0
Jared Dudley,2013.0,SF,PHO,79.0,79.0,166.0,203.0,75.0,8.0,101.0,861.0
Mike Dunleavy,2013.0,SF,MIL,75.0,31.0,260.0,145.0,39.0,35.0,90.0,785.0
Kevin Durant,2013.0,SF,OKC,81.0,46.0,594.0,374.0,116.0,105.0,280.0,2280.0
Wayne Ellington,2013.0,SG,TOT,78.0,25.0,141.0,104.0,45.0,3.0,57.0,614.0
Monta Ellis,2013.0,SG,MIL,82.0,45.0,271.0,496.0,169.0,36.0,254.0,1577.0
Tyreke Evans,2013.0,SG,SAC,65.0,56.0,231.0,229.0,90.0,27.0,128.0,987.0
Raymond Felton,2013.0,PG,NYK,68.0,51.0,143.0,372.0,94.0,14.0,155.0,948.0
Randy Foye,2013.0,SG,UTA,82.0,17.0,110.0,167.0,66.0,27.0,92.0,882.0
Marc Gasol,2013.0,C,MEM,80.0,184.0,438.0,318.0,80.0,139.0,157.0,1127.0
Pau Gasol,2013.0,PF,LAL,49.0,111.0,310.0,200.0,24.0,61.0,104.0,673.0
Rudy Gay,2013.0,SF,TOT,75.0,99.0,362.0,202.0,113.0,53.0,198.0,1366.0
Alonzo Gee,2013.0,SF,CLE,82.0,75.0,245.0,133.0,107.0,29.0,132.0,842.0
Taj Gibson,2013.0,PF,CHI,65.0,125.0,220.0,61.0,27.0,90.0,76.0,517.0
Manu Ginobili,2013.0,SG,SAS,60.0,30.0,171.0,274.0,80.0,13.0,132.0,705.0
Eric Gordon,2013.0,SG,NOH,42.0,10.0,67.0,137.0,45.0,8.0,117.0,713.0
Marcin Gortat,2013.0,C,PHO,61.0,128.0,388.0,75.0,40.0,98.0,99.0,680.0
Danny Green,2013.0,SG,SAS,80.0,36.0,208.0,141.0,92.0,54.0,94.0,838.0
James Harden,2013.0,SG,HOU,78.0,62.0,317.0,455.0,142.0,38.0,295.0,2023.0
Devin Harris,2013.0,SG,ATL,58.0,6.0,110.0,197.0,64.0,13.0,88.0,577.0
Udonis Haslem,2013.0,PF,MIA,75.0,97.0,307.0,38.0,30.0,15.0,45.0,290.0
Spencer Hawes,2013.0,C,PHI,82.0,173.0,417.0,183.0,24.0,113.0,131.0,905.0
Gerald Henderson,2013.0,SG,CHA,68.0,55.0,195.0,177.0,68.0,34.0,108.0,1055.0
Roy Hibbert,2013.0,C,IND,79.0,296.0,360.0,113.0,39.0,206.0,162.0,937.0
Nene Hilario,2013.0,PF,WAS,61.0,101.0,306.0,177.0,55.0,37.0,139.0,766.0
George Hill,2013.0,PG,IND,76.0,47.0,237.0,355.0,81.0,26.0,116.0,1076.0
Jordan Hill,2013.0,PF,LAL,29.0,82.0,84.0,13.0,8.0,19.0,26.0,194.0
Jrue Holiday,2013.0,PG,PHI,78.0,89.0,240.0,625.0,123.0,32.0,292.0,1383.0
Al Horford,2013.0,C,ATL,74.0,195.0,562.0,240.0,78.0,78.0,147.0,1289.0
Dwight Howard,2013.0,C,LAL,76.0,251.0,694.0,108.0,84.0,186.0,225.0,1296.0
Kris Humphries,2013.0,PF,BRK,65.0,126.0,239.0,32.0,16.0,33.0,57.0,375.0
Serge Ibaka,2013.0,PF,OKC,80.0,222.0,395.0,43.0,28.0,242.0,125.0,1055.0
Andre Iguodala,2013.0,SG,DEN,80.0,82.0,341.0,433.0,139.0,52.0,206.0,1038.0
Ersan Ilyasova,2013.0,PF,MIL,73.0,154.0,366.0,117.0,68.0,36.0,75.0,962.0
Jarrett Jack,2013.0,SG,GSW,79.0,21.0,222.0,439.0,60.0,11.0,157.0,1023.0
LeBron James,2013.0,PF,MIA,76.0,97.0,513.0,551.0,129.0,67.0,226.0,2036.0
Al Jefferson,2013.0,C,UTA,78.0,156.0,564.0,164.0,80.0,89.0,105.0,1391.0
Richard Jefferson,2013.0,SF,GSW,56.0,5.0,79.0,31.0,14.0,7.0,23.0,176.0
Brandon Jennings,2013.0,PG,MIL,80.0,59.0,187.0,521.0,125.0,10.0,203.0,1397.0
Amir Johnson,2013.0,PF,TOR,81.0,227.0,384.0,122.0,81.0,110.0,117.0,813.0
James Johnson,2013.0,SF,SAC,54.0,49.0,96.0,58.0,41.0,50.0,68.0,276.0
Joe Johnson,2013.0,SG,BRK,72.0,53.0,165.0,253.0,49.0,14.0,123.0,1170.0
James Jones,2013.0,SF,MIA,38.0,0.0,22.0,13.0,2.0,6.0,3.0,60.0
DeAndre Jordan,2013.0,C,LAC,82.0,210.0,384.0,28.0,48.0,112.0,100.0,724.0
Kyle Korver,2013.0,SF,ATL,74.0,23.0,270.0,146.0,70.0,37.0,70.0,810.0
Kosta Koufos,2013.0,C,DEN,81.0,211.0,351.0,32.0,44.0,103.0,53.0,648.0
Ty Lawson,2013.0,PG,DEN,73.0,36.0,162.0,501.0,107.0,8.0,182.0,1216.0
Courtney Lee,2013.0,SG,BOS,78.0,31.0,159.0,143.0,89.0,21.0,84.0,612.0
David Lee,2013.0,PF,GSW,79.0,218.0,668.0,279.0,67.0,22.0,207.0,1459.0
Shaun Livingston,2013.0,PG,TOT,66.0,31.0,127.0,215.0,48.0,31.0,76.0,417.0
Brook Lopez,2013.0,C,BRK,74.0,208.0,304.0,70.0,33.0,154.0,131.0,1437.0
Robin Lopez,2013.0,C,NOH,82.0,226.0,236.0,64.0,32.0,128.0,110.0,929.0
Kevin Love,2013.0,PF,MIN,18.0,64.0,188.0,42.0,13.0,9.0,39.0,330.0
Kyle Lowry,2013.0,PG,TOR,68.0,56.0,265.0,435.0,94.0,24.0,157.0,791.0
Ian Mahinmi,2013.0,C,IND,80.0,115.0,196.0,27.0,39.0,66.0,92.0,402.0
Wesley Matthews,2013.0,SG,POR,69.0,35.0,156.0,174.0,90.0,18.0,109.0,1022.0
Luc Mbah,2013.0,SF,MIL,58.0,89.0,167.0,55.0,42.0,14.0,70.0,387.0
JaVale McGee,2013.0,C,DEN,79.0,158.0,223.0,24.0,30.0,157.0,90.0,717.0
Josh McRoberts,2013.0,PF,TOT,67.0,93.0,232.0,141.0,32.0,27.0,66.0,401.0
Jodie Meeks,2013.0,SG,LAL,78.0,37.0,134.0,69.0,58.0,5.0,52.0,618.0
C.J. Miles,2013.0,SF,CLE,65.0,24.0,150.0,63.0,49.0,17.0,69.0,729.0
Mike Miller,2013.0,SF,MIA,59.0,18.0,139.0,99.0,21.0,4.0,35.0,281.0
Paul Millsap,2013.0,PF,UTA,78.0,177.0,377.0,201.0,102.0,80.0,138.0,1135.0
Anthony Morrow,2013.0,SG,TOT,41.0,11.0,19.0,13.0,13.0,1.0,8.0,164.0
Jameer Nelson,2013.0,PG,ORL,56.0,23.0,186.0,413.0,71.0,6.0,154.0,822.0
Steve Novak,2013.0,SF,NYK,81.0,17.0,135.0,35.0,28.0,8.0,12.0,535.0
Dirk Nowitzki,2013.0,PF,DAL,53.0,37.0,326.0,132.0,38.0,37.0,70.0,917.0
Tony Parker,2013.0,PG,SAS,66.0,18.0,180.0,499.0,54.0,6.0,170.0,1341.0
Chris Paul,2013.0,PG,LAC,70.0,53.0,209.0,678.0,169.0,10.0,159.0,1186.0
Paul Pierce,2013.0,SF,BOS,77.0,45.0,442.0,370.0,84.0,30.0,214.0,1430.0
Ronnie Price,2013.0,PG,POR,39.0,13.0,31.0,73.0,26.0,3.0,34.0,105.0
Zach Randolph,2013.0,PF,MEM,76.0,310.0,544.0,108.0,61.0,31.0,150.0,1169.0
J.J. Redick,2013.0,SG,TOT,78.0,17.0,154.0,296.0,38.0,9.0,138.0,1100.0
Rajon Rondo,2013.0,PG,BOS,38.0,43.0,169.0,420.0,70.0,9.0,148.0,522.0
Brandon Rush,2013.0,SF,GSW,2.0,0.0,1.0,2.0,0.0,0.0,3.0,14.0
Luis Scola,2013.0,PF,PHO,82.0,158.0,383.0,182.0,67.0,35.0,126.0,1048.0
Thabo Sefolosha,2013.0,SG,OKC,81.0,58.0,259.0,125.0,103.0,44.0,64.0,613.0
Ramon Sessions,2013.0,SG,CHA,61.0,27.0,142.0,230.0,48.0,7.0,104.0,876.0
J.R. Smith,2013.0,SG,NYK,80.0,64.0,361.0,218.0,100.0,24.0,134.0,1446.0
Jason Smith,2013.0,C,NOH,51.0,64.0,122.0,34.0,15.0,45.0,55.0,420.0
Marreese Speights,2013.0,C,TOT,79.0,146.0,240.0,47.0,24.0,53.0,80.0,658.0
Rodney Stuckey,2013.0,SG,DET,76.0,43.0,169.0,270.0,51.0,17.0,134.0,876.0
Jeff Teague,2013.0,PG,ATL,80.0,25.0,155.0,579.0,117.0,28.0,230.0,1166.0
Jason Terry,2013.0,SG,BOS,79.0,19.0,140.0,198.0,66.0,11.0,102.0,799.0
Marcus Thornton,2013.0,SG,SAC,72.0,50.0,131.0,91.0,61.0,4.0,68.0,916.0
Anthony Tolliver,2013.0,SF,ATL,62.0,31.0,124.0,32.0,15.0,12.0,36.0,253.0
Beno Udrih,2013.0,SG-PG,TOT,66.0,34.0,107.0,302.0,41.0,3.0,108.0,538.0
Anderson Varejao,2013.0,C,CLE,25.0,138.0,223.0,84.0,37.0,14.0,44.0,353.0
Dwyane Wade,2013.0,SG,MIA,69.0,86.0,258.0,352.0,128.0,56.0,194.0,1463.0
C.J. Watson,2013.0,PG,BRK,80.0,38.0,107.0,161.0,66.0,12.0,69.0,543.0
David West,2013.0,PF,IND,73.0,145.0,418.0,213.0,74.0,69.0,157.0,1250.0
Russell Westbrook,2013.0,PG,OKC,82.0,111.0,317.0,607.0,145.0,24.0,273.0,1903.0
Deron Williams,2013.0,PG,BRK,78.0,29.0,203.0,604.0,75.0,30.0,218.0,1476.0
Lou Williams,2013.0,SG,ATL,39.0,8.0,72.0,139.0,44.0,10.0,74.0,551.0
Nick Young,2013.0,SG,PHI,59.0,24.0,106.0,84.0,36.0,14.0,50.0,628.0
Thaddeus Young,2013.0,PF,PHI,76.0,182.0,389.0,125.0,133.0,55.0,90.0,1127.0
Arron Afflalo,2014.0,SG,ORL,73.0,32.0,230.0,248.0,35.0,3.0,146.0,1330.0
LaMarcus Aldridge,2014.0,PF,POR,69.0,166.0,599.0,178.0,63.0,68.0,123.0,1603.0
Tony Allen,2014.0,SG,MEM,55.0,79.0,129.0,94.0,90.0,19.0,90.0,495.0
Chris Andersen,2014.0,C,MIA,72.0,129.0,250.0,19.0,32.0,97.0,53.0,477.0
Ryan Anderson,2014.0,PF,NOP,22.0,66.0,76.0,17.0,10.0,7.0,20.0,436.0
Carmelo Anthony,2014.0,PF,NYK,77.0,145.0,477.0,242.0,95.0,51.0,198.0,2112.0
Joel Anthony,2014.0,C,TOT,33.0,15.0,23.0,2.0,3.0,12.0,3.0,28.0
Trevor Ariza,2014.0,SF,WAS,77.0,99.0,376.0,191.0,126.0,20.0,132.0,1107.0
D.J. Augustin,2014.0,PG,TOT,71.0,15.0,115.0,313.0,53.0,3.0,125.0,930.0
Leandro Barbosa,2014.0,PG,PHO,20.0,5.0,32.0,32.0,7.0,4.0,19.0,150.0
J.J. Barea,2014.0,PG,MIN,79.0,16.0,138.0,303.0,26.0,0.0,125.0,660.0
Matt Barnes,2014.0,SF,LAC,63.0,60.0,232.0,125.0,56.0,28.0,85.0,625.0
Brandon Bass,2014.0,PF,BOS,82.0,161.0,309.0,87.0,36.0,71.0,102.0,911.0
Nicolas Batum,2014.0,SF,POR,82.0,116.0,495.0,420.0,75.0,57.0,208.0,1070.0
Jerryd Bayless,2014.0,PG,TOT,72.0,22.0,123.0,194.0,60.0,9.0,82.0,666.0
Michael Beasley,2014.0,SF,MIA,55.0,31.0,141.0,42.0,23.0,21.0,57.0,436.0
Marco Belinelli,2014.0,SF,SAS,80.0,18.0,208.0,179.0,50.0,7.0,95.0,911.0
Andrew Bogut,2014.0,C,GSW,67.0,182.0,489.0,112.0,47.0,121.0,97.0,492.0
Corey Brewer,2014.0,SF,MIN,81.0,63.0,144.0,135.0,151.0,30.0,105.0,998.0
Jose Calderon,2014.0,PG,DAL,81.0,29.0,163.0,377.0,69.0,11.0,103.0,925.0
DeMarre Carroll,2014.0,SF,ATL,73.0,107.0,296.0,134.0,108.0,21.0,79.0,810.0
Vince Carter,2014.0,SG,DAL,81.0,67.0,217.0,212.0,61.0,35.0,108.0,967.0
Tyson Chandler,2014.0,C,NYK,55.0,159.0,370.0,59.0,36.0,63.0,71.0,480.0
Darren Collison,2014.0,PG,LAC,80.0,47.0,141.0,297.0,93.0,15.0,132.0,911.0
Nick Collison,2014.0,PF,OKC,81.0,116.0,177.0,104.0,30.0,28.0,71.0,338.0
Mike Conley,2014.0,PG,MEM,73.0,41.0,172.0,441.0,110.0,13.0,150.0,1256.0
Dante Cunningham,2014.0,PF,MIN,81.0,112.0,218.0,83.0,62.0,58.0,42.0,510.0
Stephen Curry,2014.0,PG,GSW,78.0,46.0,288.0,666.0,128.0,14.0,294.0,1873.0
Luol Deng,2014.0,SF,TOT,63.0,99.0,262.0,183.0,62.0,9.0,114.0,1011.0
DeMar DeRozan,2014.0,SG,TOR,79.0,51.0,292.0,313.0,86.0,28.0,176.0,1791.0
Boris Diaw,2014.0,PF,SAS,79.0,74.0,252.0,222.0,44.0,32.0,121.0,717.0
Goran Dragic,2014.0,SG,PHO,76.0,69.0,176.0,447.0,104.0,22.0,213.0,1542.0
Jared Dudley,2014.0,SF,LAC,74.0,36.0,124.0,104.0,41.0,10.0,56.0,511.0
Mike Dunleavy,2014.0,SF,CHI,82.0,46.0,299.0,186.0,64.0,46.0,108.0,929.0
Kevin Durant,2014.0,SF,OKC,81.0,58.0,540.0,445.0,103.0,59.0,285.0,2593.0
Wayne Ellington,2014.0,SG,DAL,45.0,8.0,35.0,19.0,16.0,2.0,11.0,145.0
Monta Ellis,2014.0,SG,DAL,82.0,38.0,257.0,471.0,141.0,23.0,264.0,1560.0
Tyreke Evans,2014.0,SF,NOP,72.0,76.0,265.0,363.0,84.0,21.0,175.0,1042.0
Raymond Felton,2014.0,PG,NYK,65.0,54.0,143.0,365.0,78.0,27.0,129.0,630.0
Randy Foye,2014.0,SG,DEN,81.0,36.0,196.0,287.0,67.0,39.0,145.0,1068.0
Marc Gasol,2014.0,C,MEM,59.0,84.0,340.0,215.0,59.0,76.0,111.0,859.0
Pau Gasol,2014.0,C,LAL,60.0,124.0,456.0,201.0,27.0,92.0,141.0,1041.0
Rudy Gay,2014.0,SF,TOT,73.0,113.0,324.0,209.0,95.0,56.0,224.0,1457.0
Alonzo Gee,2014.0,SF,CLE,65.0,35.0,114.0,47.0,39.0,15.0,44.0,258.0
Taj Gibson,2014.0,PF,CHI,82.0,200.0,358.0,91.0,41.0,112.0,150.0,1069.0
Manu Ginobili,2014.0,SG,SAS,68.0,30.0,172.0,293.0,70.0,17.0,139.0,838.0
Eric Gordon,2014.0,SG,NOP,64.0,30.0,135.0,208.0,74.0,12.0,134.0,988.0
Marcin Gortat,2014.0,C,WAS,81.0,202.0,565.0,138.0,41.0,121.0,126.0,1068.0
Danny Green,2014.0,SG,SAS,68.0,25.0,204.0,104.0,65.0,61.0,76.0,618.0
James Harden,2014.0,SG,HOU,73.0,61.0,283.0,446.0,115.0,29.0,265.0,1851.0
Devin Harris,2014.0,PG,DAL,40.0,8.0,77.0,178.0,28.0,2.0,59.0,315.0
Udonis Haslem,2014.0,PF,MIA,46.0,42.0,133.0,13.0,11.0,15.0,24.0,173.0
Spencer Hawes,2014.0,C,TOT,80.0,131.0,529.0,240.0,44.0,94.0,173.0,1053.0
Gerald Henderson,2014.0,SG,CHA,77.0,31.0,279.0,199.0,51.0,32.0,113.0,1081.0
Roy Hibbert,2014.0,C,IND,81.0,202.0,336.0,91.0,29.0,182.0,148.0,871.0
Nene Hilario,2014.0,PF,WAS,53.0,65.0,229.0,153.0,64.0,47.0,117.0,754.0
George Hill,2014.0,PG,IND,76.0,53.0,230.0,265.0,75.0,23.0,92.0,781.0
Jordan Hill,2014.0,PF,LAL,72.0,194.0,341.0,54.0,29.0,64.0,75.0,696.0
Jrue Holiday,2014.0,PG,NOP,34.0,28.0,114.0,268.0,56.0,12.0,105.0,487.0
Al Horford,2014.0,C,ATL,29.0,66.0,178.0,76.0,27.0,44.0,64.0,538.0
Dwight Howard,2014.0,C,HOU,71.0,231.0,635.0,131.0,60.0,128.0,229.0,1297.0
Kris Humphries,2014.0,PF,BOS,69.0,127.0,282.0,67.0,31.0,61.0,64.0,579.0
Serge Ibaka,2014.0,PF,OKC,81.0,224.0,485.0,85.0,39.0,219.0,123.0,1227.0
Andre Iguodala,2014.0,SF,GSW,63.0,53.0,240.0,263.0,95.0,18.0,100.0,588.0
Ersan Ilyasova,2014.0,PF,MIL,55.0,107.0,235.0,72.0,46.0,8.0,61.0,618.0
Jarrett Jack,2014.0,PG,CLE,80.0,22.0,201.0,324.0,56.0,22.0,133.0,760.0
LeBron James,2014.0,PF,MIA,77.0,81.0,452.0,488.0,121.0,26.0,270.0,2089.0
Al Jefferson,2014.0,C,CHA,73.0,156.0,636.0,155.0,67.0,79.0,124.0,1594.0
Richard Jefferson,2014.0,SF,UTA,82.0,18.0,201.0,130.0,56.0,14.0,94.0,831.0
Brandon Jennings,2014.0,PG,DET,80.0,59.0,185.0,609.0,101.0,8.0,215.0,1241.0
Amir Johnson,2014.0,PF,TOR,77.0,172.0,333.0,115.0,56.0,88.0,123.0,799.0
James Johnson,2014.0,SF,MEM,52.0,60.0,106.0,111.0,42.0,57.0,66.0,384.0
Joe Johnson,2014.0,SG,BRK,79.0,48.0,222.0,216.0,47.0,10.0,120.0,1245.0
James Jones,2014.0,SF,MIA,20.0,2.0,21.0,9.0,3.0,4.0,4.0,97.0
DeAndre Jordan,2014.0,C,LAC,82.0,331.0,783.0,74.0,80.0,203.0,123.0,856.0
Kyle Korver,2014.0,SG,ATL,71.0,22.0,260.0,208.0,70.0,24.0,102.0,850.0
Kosta Koufos,2014.0,C,MEM,80.0,160.0,258.0,39.0,32.0,71.0,67.0,514.0
Ty Lawson,2014.0,PG,DEN,62.0,40.0,175.0,543.0,100.0,10.0,200.0,1090.0
Courtney Lee,2014.0,SG,TOT,79.0,29.0,158.0,115.0,65.0,28.0,73.0,761.0
David Lee,2014.0,PF,GSW,69.0,182.0,461.0,147.0,48.0,26.0,152.0,1257.0
Shaun Livingston,2014.0,PG,BRK,76.0,67.0,179.0,245.0,93.0,31.0,105.0,629.0
Brook Lopez,2014.0,C,BRK,17.0,39.0,63.0,16.0,9.0,30.0,28.0,352.0
Robin Lopez,2014.0,C,POR,82.0,326.0,374.0,73.0,25.0,139.0,84.0,908.0
Kevin Love,2014.0,PF,MIN,77.0,224.0,739.0,341.0,59.0,35.0,196.0,2010.0
Kyle Lowry,2014.0,PG,TOR,79.0,88.0,281.0,586.0,121.0,15.0,194.0,1417.0
Ian Mahinmi,2014.0,C,IND,77.0,107.0,150.0,24.0,41.0,72.0,58.0,272.0
Wesley Matthews,2014.0,SG,POR,82.0,51.0,238.0,197.0,76.0,14.0,110.0,1343.0
Luc Mbah,2014.0,PF-SF,TOT,64.0,56.0,90.0,36.0,30.0,14.0,40.0,224.0
JaVale McGee,2014.0,C,DEN,5.0,10.0,7.0,2.0,1.0,7.0,8.0,35.0
Josh McRoberts,2014.0,PF,CHA,78.0,85.0,288.0,333.0,58.0,46.0,83.0,661.0
Jodie Meeks,2014.0,SG,LAL,77.0,30.0,164.0,138.0,111.0,4.0,111.0,1209.0
C.J. Miles,2014.0,SG,CLE,51.0,18.0,85.0,52.0,46.0,15.0,44.0,503.0
Mike Miller,2014.0,SF,MEM,82.0,30.0,177.0,130.0,26.0,5.0,77.0,579.0
Paul Millsap,2014.0,PF,ATL,74.0,154.0,473.0,232.0,129.0,78.0,185.0,1328.0
Anthony Morrow,2014.0,SG,NOP,76.0,29.0,111.0,59.0,38.0,12.0,51.0,636.0
Jameer Nelson,2014.0,PG,ORL,68.0,29.0,202.0,476.0,52.0,5.0,166.0,820.0
Steve Novak,2014.0,PF,TOR,54.0,8.0,50.0,13.0,12.0,4.0,5.0,178.0
Dirk Nowitzki,2014.0,PF,DAL,80.0,40.0,458.0,216.0,73.0,45.0,117.0,1735.0
Tony Parker,2014.0,PG,SAS,68.0,17.0,138.0,388.0,36.0,9.0,151.0,1134.0
Chris Paul,2014.0,PG,LAC,62.0,38.0,230.0,663.0,154.0,4.0,145.0,1185.0
Paul Pierce,2014.0,SF,BRK,75.0,26.0,322.0,178.0,86.0,31.0,153.0,1010.0
