Player,Salary,Season,Team
Russell Westbrook,16744218.0,2015,OKC
Russell Westbrook,26540100.0,2016,OKC
Russell Westbrook,28530608.0,2017,OKC
Serge Ibaka,1204200.0,2010,OKC
Serge Ibaka,1288200.0,2011,OKC
Serge Ibaka,2253062.0,2012,OKC
Serge Ibaka,12250000.0,2013,OKC
Serge Ibaka,12350000.0,2014,OKC
Serge Ibaka,12350000.0,2015,OKC
Serge Ibaka,12250000.0,2016,TOR
Serge Ibaka,20061729.0,2017,TOR
Spencer Hawes,2974320.0,2010,PHI
Spencer Hawes,4051024.0,2011,PHI
Spencer Hawes,8500000.0,2012,PHI
Spencer Hawes,6500000.0,2013,PHI
Spencer Hawes,5305000.0,2014,LAC
Spencer Hawes,5543725.0,2015,CHA
Spencer Hawes,6348759.0,2016,MIL
Spencer Hawes,6021175.0,2017,MIL
Stephen Curry,2913840.0,2010,GSW
Stephen Curry,3117120.0,2011,GSW
Stephen Curry,3958742.0,2012,GSW
Stephen Curry,9887642.0,2013,GSW
Stephen Curry,10629213.0,2014,GSW
Stephen Curry,11370786.0,2015,GSW
Stephen Curry,12112359.0,2016,GSW
Stephen Curry,34682550.0,2017,GSW
Thabo Sefolosha,3250000.0,2010,OKC
Thabo Sefolosha,3300000.0,2011,OKC
Thabo Sefolosha,3600000.0,2012,OKC
Thabo Sefolosha,3900000.0,2013,OKC
Thabo Sefolosha,4150000.0,2014,ATL
Thabo Sefolosha,4000000.0,2015,ATL
Thabo Sefolosha,3850000.0,2016,ATL
Thabo Sefolosha,5250000.0,2017,UTA
Thaddeus Young,2901241.0,2010,PHI
Thaddeus Young,7478261.0,2011,PHI
Thaddeus Young,8289130.0,2012,PHI
Thaddeus Young,8600000.0,2013,PHI
Thaddeus Young,9410870.0,2014,NJN
Thaddeus Young,11200000.0,2015,NJN
Thaddeus Young,14153652.0,2016,IND
Thaddeus Young,14796348.0,2017,IND
Tim Duncan,18700000.0,2010,SAS
Tim Duncan,21164619.0,2011,SAS
Tim Duncan,9638554.0,2012,SAS
Tim Duncan,10361446.0,2013,SAS
Tim Duncan,10000000.0,2014,SAS
Tim Duncan,5000000.0,2015,SAS
Tim Duncan,1881250.0,2016,SAS
Tim Duncan,1881250.0,2017,SAS
Timofey Mozgov,3567096.0,2010,DEN
Timofey Mozgov,3343896.0,2011,DEN
Timofey Mozgov,3140429.0,2012,DEN
Timofey Mozgov,4400000.0,2013,DEN
Timofey Mozgov,4650000.0,2014,CLE
Timofey Mozgov,4950000.0,2015,CLE
Timofey Mozgov,16000000.0,2016,LAL
Timofey Mozgov,15280000.0,2017,NJN
Tony Allen,3000000.0,2010,MEM
Tony Allen,3150000.0,2011,MEM
Tony Allen,3300000.0,2012,MEM
Tony Allen,4494382.0,2013,MEM
Tony Allen,4831461.0,2014,MEM
Tony Allen,5168539.0,2015,MEM
Tony Allen,5505618.0,2016,MEM
Tony Allen,2116955.0,2017,NOH
Tony Parker,13500000.0,2010,SAS
Tony Parker,12500000.0,2011,SAS
Tony Parker,12500000.0,2012,SAS
Tony Parker,12500000.0,2013,SAS
Tony Parker,12500000.0,2014,SAS
Tony Parker,13437500.0,2015,SAS
Tony Parker,14445313.0,2016,SAS
Tony Parker,15453126.0,2017,SAS
Trevor Ariza,6322320.0,2010,NOH
Trevor Ariza,6790640.0,2011,NOH
Trevor Ariza,7258960.0,2012,WAS
Trevor Ariza,7727280.0,2013,WAS
Trevor Ariza,8579089.0,2014,HOU
Trevor Ariza,8193030.0,2015,HOU
Trevor Ariza,7806971.0,2016,HOU
Trevor Ariza,7420912.0,2017,HOU
Trevor Booker,1204560.0,2010,WAS
Trevor Booker,1294920.0,2011,WAS
Trevor Booker,1385280.0,2012,WAS
Trevor Booker,2350820.0,2013,WAS
Trevor Booker,5000000.0,2014,UTA
Trevor Booker,4775000.0,2015,UTA
Trevor Booker,9250000.0,2016,NJN
Trevor Booker,9125000.0,2017,NJN
Tyreke Evans,3880920.0,2010,SAC
Tyreke Evans,4151640.0,2011,SAC
Tyreke Evans,5251825.0,2012,SAC
Tyreke Evans,10300000.0,2013,NOH
Tyreke Evans,10763500.0,2014,NOH
Tyreke Evans,11227000.0,2015,NOH
Tyreke Evans,10661286.0,2016,SAC
Tyreke Evans,3290000.0,2017,MEM
Tyson Chandler,12600000.0,2010,DAL
Tyson Chandler,13107837.0,2011,NYK
Tyson Chandler,13604188.0,2012,NYK
Tyson Chandler,14100538.0,2013,NYK
Tyson Chandler,14598888.0,2014,DAL
Tyson Chandler,13000000.0,2015,PHO
Tyson Chandler,12415000.0,2016,PHO
Tyson Chandler,13000000.0,2017,PHO
Wayne Ellington,1078800.0,2010,MIN
Wayne Ellington,1154040.0,2011,MIN
Wayne Ellington,2083042.0,2012,CLE
Wayne Ellington,2652000.0,2013,DAL
Wayne Ellington,1063384.0,2014,LAL
Wayne Ellington,1500000.0,2015,NJN
Wayne Ellington,6000000.0,2016,MIA
Wayne Ellington,6270000.0,2017,MIA
Wesley Johnson,3726600.0,2010,MIN
Wesley Johnson,4006080.0,2011,MIN
Wesley Johnson,4285560.0,2012,PHO
Wesley Johnson,916099.0,2013,LAL
Wesley Johnson,981084.0,2014,LAL
Wesley Johnson,1100600.0,2015,LAC
Wesley Johnson,5628000.0,2016,LAC
Wesley Johnson,5881260.0,2017,LAC
Wesley Matthews,5765000.0,2010,POR
Wesley Matthews,6135160.0,2011,POR
Wesley Matthews,6505320.0,2012,POR
Wesley Matthews,6875480.0,2013,POR
Wesley Matthews,7245640.0,2014,POR
Wesley Matthews,16400000.0,2015,DAL
Wesley Matthews,17100000.0,2016,DAL
Wesley Matthews,17884176.0,2017,DAL
Zach Randolph,17666666.0,2010,MEM
Zach Randolph,15200000.0,2011,MEM
Zach Randolph,16500000.0,2012,MEM
Zach Randolph,17800000.0,2013,MEM
Zach Randolph,16500000.0,2014,MEM
Zach Randolph,9638555.0,2015,MEM
Zach Randolph,10361445.0,2016,MEM
Zach Randolph,12307692.0,2017,SAC
Zaza Pachulia,4251250.0,2010,ATL
Zaza Pachulia,4750000.0,2011,ATL
Zaza Pachulia,5248750.0,2012,ATL
Zaza Pachulia,5200000.0,2013,MIL
Zaza Pachulia,5200000.0,2014,MIL
Zaza Pachulia,5200000.0,2015,DAL
Zaza Pachulia,2898000.0,2016,GSW
Zaza Pachulia,3477600.0,2017,GSW
Luc Mbah a Moute,854389.0,2010,MIL
Luc Mbah a Moute,5000000.0,2011,MIL
Luc Mbah a Moute,4795192.0,2012,MIL
Luc Mbah a Moute,4588384.0,2013,SAC
Luc Mbah a Moute,4382576.0,2014,PHI
Luc Mbah a Moute,1270964.0,2015,LAC
Luc Mbah a Moute,2203000.0,2016,LAC
Luc Mbah a Moute,2116955.0,2017,HOU
Omri Casspi,1254480.0,2010,SAC
Omri Casspi,1341960.0,2011,CLE
Omri Casspi,2277306.0,2012,CLE
Omri Casspi,947907.0,2013,HOU
Omri Casspi,1063384.0,2014,SAC
Omri Casspi,3000000.0,2015,SAC
Omri Casspi,3000000.0,2016,NOH
Omri Casspi,2106470.0,2017,GSW
Ryan Anderson,1409040.0,2010,ORL
Ryan Anderson,2244601.0,2011,ORL
Ryan Anderson,8700000.0,2012,NOH
Ryan Anderson,8308500.0,2013,NOH
Ryan Anderson,8491500.0,2014,NOH
Ryan Anderson,8500000.0,2015,NOH
Ryan Anderson,18735364.0,2016,HOU
Ryan Anderson,19578455.0,2017,HOU
