Player,Salary,Season,Team
Beno Udrih,7372000.0,2012,ORL
Beno Udrih,1272279.0,2013,NYK
Beno Udrih,2077000.0,2014,MEM
Beno Udrih,2170465.0,2015,MIA
Beno Udrih,1551659.0,2016,DET
Beno Udrih,25000.0,2017,DET
Blake Griffin,5357280.0,2010,LAC
Blake Griffin,5731080.0,2011,LAC
Blake Griffin,7226892.0,2012,LAC
Blake Griffin,16441500.0,2013,LAC
Blake Griffin,17674612.0,2014,LAC
Blake Griffin,18907725.0,2015,LAC
Blake Griffin,20140838.0,2016,LAC
Blake Griffin,29512900.0,2017,LAC
Brook Lopez,2413320.0,2010,NJN
Brook Lopez,3076983.0,2011,NJN
Brook Lopez,13668750.0,2012,NJN
Brook Lopez,14693906.0,2013,NJN
Brook Lopez,15719063.0,2014,NJN
Brook Lopez,20000000.0,2015,NJN
Brook Lopez,21165675.0,2016,NJN
Brook Lopez,22642350.0,2017,LAL
C.J. Miles,3700000.0,2010,UTA
C.J. Miles,3700000.0,2011,UTA
C.J. Miles,2225000.0,2012,CLE
C.J. Miles,2225000.0,2013,CLE
C.J. Miles,4205000.0,2014,IND
C.J. Miles,4394225.0,2015,IND
C.J. Miles,4583450.0,2016,IND
C.J. Miles,7936509.0,2017,TOR
Carmelo Anthony,17149243.0,2010,NYK
Carmelo Anthony,18518574.0,2011,NYK
Carmelo Anthony,19450000.0,2012,NYK
Carmelo Anthony,22407474.0,2013,NYK
Carmelo Anthony,22458000.0,2014,NYK
Carmelo Anthony,22875000.0,2015,NYK
Carmelo Anthony,24559380.0,2016,NYK
Carmelo Anthony,26243760.0,2017,OKC
Caron Butler,10561960.0,2010,DAL
Caron Butler,8000000.0,2011,LAC
Caron Butler,8000000.0,2012,LAC
Caron Butler,8000000.0,2013,PHO
Caron Butler,4500000.0,2014,MIL
Caron Butler,1499187.0,2015,SAC
Caron Butler,517220.0,2016,SAC
Caron Butler,517220.0,2017,SAC
Chris Paul,14940153.0,2010,NOH
Chris Paul,16359805.0,2011,LAC
Chris Paul,17779458.0,2012,LAC
Chris Paul,18668431.0,2013,LAC
Chris Paul,20068563.0,2014,LAC
Chris Paul,21468696.0,2015,LAC
Chris Paul,22868827.0,2016,LAC
Chris Paul,24599495.0,2017,HOU
Corey Brewer,3703472.0,2010,NYK
Corey Brewer,3059000.0,2011,DEN
Corey Brewer,3243000.0,2012,DEN
Corey Brewer,4500000.0,2013,MIN
Corey Brewer,4702500.0,2014,HOU
Corey Brewer,8200000.0,2015,HOU
Corey Brewer,7600000.0,2016,LAL
Corey Brewer,7579366.0,2017,LAL
Danilo Gallinari,3304560.0,2010,DEN
Danilo Gallinari,4190182.0,2011,DEN
Danilo Gallinari,9439000.0,2012,DEN
